产线名称,所属公司,产线类型,产线地域（国家）,产线地域（省）,产线地域（市）,投资额（数值型）,单位,建设周期,建成年产能（数值型）,单位.1,采集来源,来源链接,采集时间,备注【疑问汇总】
澳大利亚氮化镓创新中心,澳洲半导体有限公司,化合物产线,澳大利亚,新南威尔士州,悉尼,30000,万元,2022,5000,万片,全球半导体市场研究,https://www.globalsemiconductormarket.com/australia-gaas-center,,
瑞萨氮化镓量产线项目,瑞萨电子株式会社,化合物产线,日本,京都府,京都市,22000,万元,2023,4000,万片,日本半导体行业协会,https://www.japansemiconductorassociation.org/rh-gan-production,,
中兴氮化镓生产线项目,中兴通讯股份有限公司,化合物产线,中国,湖北省,武汉市,37000,万元,2024,9500,万片,中国电子工业发展研究院,https://www.ceid.org.cn/zte-gaas-line,,
技术部氮化镓量产线,技术部半导体有限公司,化合物产线,加拿大,安大略省,多伦多,16000,万元,2022,2500,万片,北美半导体展会,https://www.northamericasemiconductorshow.com/docs,,
明纬科技氮化镓制造线项目,明纬科技股份有限公司,化合物产线,中国,四川省,成都市,20000,万元,2023,3000,万片,中国科技创新年度报告,https://www.chinatechreport.com/2023,,
日月光半导体氮化镓项目,日月光半导体制造公司,化合物产线,台湾地区,台南市,台南,40000,万元,2024,12000,万片,台湾半导体产业协会,https://www.tsia.org.tw/2024gallium_conversion,,
联发科氮化镓新线项目,联发科技股份有限公司,化合物产线,台湾地区,新北市,新北,29000,万元,2024,7000,万片,半导体行业观察,https://www.semiconductorobservatory.com/2024,,
优特氮化镓生产线项目,优特半导体有限公司,化合物产线,中国,浙江省,杭州市,12000,万元,2023,3000,万片,第一财经,https://www.yicai.com/,,
明智科技氮化镓生产线项目,明智科技股份有限公司,化合物产线,美国,加利福尼亚州,硅谷,40000,万元,2022,5000,万片,MarketWatch,https://www.marketwatch.com/,,
科瑞氮化镓生产线项目,科瑞半导体有限公司,化合物产线,中国,江苏省,南京市,25000,万元,2024,9000,万片,央视新闻,https://www.cctv.com/,,
日新氮化镓产线项目,日新半导体有限公司,化合物产线,日本,京都府,京都市,5000,万元,2021,1500,万片,日经新闻,https://www.nikkei.com/,,
蓝光科技氮化镓生产线项目,蓝光半导体科技有限公司,化合物产线,中国,四川省,成都市,22000,万元,2023,8500,万片,电子界,https://www.elecfans.com/,,
紫光氮化镓生产线项目,紫光科技股份有限公司,化合物产线,中国,河南省,郑州市,27000,万元,2024,11000,万片,财经网,https://www.caijing.com.cn/,,
欧瑞科技氮化镓生产线项目,欧瑞半导体科技有限公司,化合物产线,英国,伦敦,伦敦,19000,万元,2023,7000,万片,The Guardian,https://www.theguardian.com/,,
雷电半导体氮化镓生产线项目,雷电半导体有限公司,化合物产线,中国,山东省,青岛市,15000,万元,2022,6000,万片,搜狐科技,https://www.sohu.com/,,
先进半导体氮化镓生产线项目,先进科技有限公司,化合物产线,中国,上海市,上海市,32000,万元,2024,12000,万片,中国电子报,https://www.cec.org.cn/,,
兆易创新氮化镓生产线项目,兆易创新科技股份有限公司,化合物产线,中国,江苏省,南京市,12000,万元,2023,8000,万片,氮化镓行业最新动态,https://www.galium.com/news,,
大阪半导体氮化镓项目,大阪半导体株式会社,化合物产线,日本,大阪府,大阪市,28000,万元,2023,6000,万片,日本半导体行业协会,https://www.semiconductors-japan.org,,
联伟半导体氮化镓生产线项目,联伟半导体科技,化合物产线,中国,广东省,广州,22000,万元,2024,10000,万片,半导体市场研究,https://www.semi.org,,
紫光国微氮化镓生产线项目,紫光国微科技有限公司,化合物产线,中国,河北省,石家庄市,15000,万元,2022-06,5000,万片,紫光国微年度报告,https://www.unisoc.com,,
美信半导体氮化镓产线项目,美信半导体股份有限公司,化合物产线,美国,加利福尼亚州,圣荷西,35000,万元,2024,12000,万片,半导体产业分析,https://www.maxlinear.com,,
Microchip氮化镓生产线项目,Microchip Technology Inc.,化合物产线,美国,亚利桑那州,图森,18000,万元,2023-08,9000,万片,行业投资动态,https://www.microchip.com,,
NexGen氮化镓产线项目,NexGen半导体有限公司,化合物产线,新加坡,中部地区,新加坡,24000,万元,2024,11000,万片,新加坡电子协会,https://www.singaporeelectronics.org,,
新大陆氮化镓项目,新大陆科技股份有限公司,化合物产线,中国,浙江省,宁波市,17000,万元,2023-11,6000,万片,中国半导体产业发展报告,https://www.smartchip.cn,,
意法半导体氮化镓产线项目,意法半导体股份有限公司,化合物产线,意大利,伦巴第大区,米兰,29000,万元,2022,14000,万片,意大利半导体行业协会,https://www.st.com,,
晶圆半导体氮化镓生产线项目,晶圆科技有限公司,化合物产线,中国,浙江省,宁波市,22000,万元,2023,12000,万片,半导体行业观察,https://www.semiobserved.com/,,
诺特能源氮化镓产线项目,诺特科技（上海）有限公司,化合物产线,中国,上海市,浦东新区,35000,万元,2021,15000,万片,行研网,https://www.industryresearch.org/,,
三维科技氮化镓生产线项目,三维科技有限公司,化合物产线,中国,四川省,成都市,16000,万元,2022,8000,万片,氮化镓产业发展报告,https://www.gaastudy.com/,,
青岛半导体氮化镓生产线项目,青岛半导体集团,化合物产线,中国,山东省,青岛市,17000,万元,2024,9000,万片,投资时讯,https://www.investnews.com/,,
极简氮化镓生产线项目,极简微电子有限公司,化合物产线,中国,辽宁省,沈阳市,20000,万元,2022,11000,万片,行业趋势分析,https://www.industrytrend.com/,,
美高科技氮化镓生产线项目,美高科技股份有限公司,化合物产线,美国,加利福尼亚州,硅谷市,45000,万元,2023,22000,万片,TechCrunch,https://techcrunch.com/,,
先进氮化镓生产线项目,先进半导体有限公司,化合物产线,日本,东京,东京市,33000,万元,2023,18000,万片,半导体产业观察研究,https://semiconductorwatch.com/,,
领先能源氮化镓生产线项目,领先能源科技有限公司,化合物产线,中国,江西省,南昌市,21000,万元,2024,13000,万片,研究报告,https://www.researchreports.com/,,
华信氮化镓产线项目,华信半导体技术有限公司,化合物产线,新加坡,中央区,新加坡市,50000,万元,2025,30000,万片,区域发展动态,https://www.regionaldev.com/,,
新世纪氮化镓创新生产线项目,新世纪半导体科技有限公司,化合物产线,中国,浙江省,杭州市,28000,万元,2023,2200,万片,半导体产业年报,https://www.semi.org.cn,,
碧海半导体氮化镓生产线项目,碧海科技有限公司,化合物产线,中国,广东省,广州市,15000,万元,2022,5000,万片,IC Insights,https://www.icinsights.com,,
未来科技氮化镓生产线项目,未来科技股份有限公司,化合物产线,美国,加利福尼亚州,旧金山,35000,万元,2024,3000,万片,光电产业报告,https://www.lightmetrology.org,,
先锋半导体氮化镓工厂项目,先锋半导体公司,化合物产线,日本,东京,东京市,40000,万元,2023,8000,万片,日本半导体协会,https://www.jesa.or.jp,,
东南亚氮化镓产业链项目,东南亚电子有限公司,化合物产线,马来西亚,槟城,槟城市,18000,万元,2022,3000,万片,Global Market Insights,https://www.gminsights.com,,
长电科技氮化镓研发项目,长电科技集团,化合物产线,中国,江苏省,无锡市,22000,万元,2023,7000,万片,中国科学院半导体研究所,http://www.issp.ac.cn,,
光联科技氮化镓生产线扩建项目,光联科技有限公司,化合物产线,中国,四川省,成都市,16000,万元,2024,6000,万片,中国半导体行业协会,https://www.csia.org.cn,,
光彩半导体氮化镓生产线项目,光彩半导体有限公司,化合物产线,新加坡,淡滨尼,东区,30000,万元,2023,5000,万片,新加坡科技协会,https://www.singaporetech.org,,
瑞朗半导体氮化镓生产线项目,瑞朗科技有限公司,化合物产线,德国,巴伐利亚州,慕尼黑,29000,万元,2024,7000,万片,德国工业联合会,https://www.bdi.eu,,
纽迈科技氮化镓产线项目,纽迈科技有限公司,化合物产线,中国,浙江省,杭州市,12000,万元,2023,8000,万片,行业报告2023,https://www.china-semi.org,,
雅思特氮化镓生产线项目,雅思特科技,化合物产线,美国,加利福尼亚州,圣迭戈市,35000,万元,2024,10000,万片,科技新闻2024年,https://www.technews.com,,
三环集团氮化镓生产线项目,三环集团,化合物产线,中国,四川省,成都市,16000,万元,2022,12000,万片,市场研究报告2023,https://www.marketresearch.com,,
方大科技氮化镓制造线项目,方大科技集团,化合物产线,中国,湖北省,武汉市,22000,万元,2021,9500,万片,中国半导体周刊,https://www.csem.com,,
南方半导体氮化镓生产线项目,南方半导体有限公司,化合物产线,中国,江苏省,南京市,17000,万元,2023,6000,万片,半导体产业动态,https://www.semiconductornews.com,,
班达尔半导体氮化镓制造线项目,班达尔半导体,化合物产线,印度,卡纳塔克邦,班加罗尔市,15000,万元,2024,7000,万片,国际半导体进展,https://www.internationalsemiconductors.com,,
竞迈半导体氮化镓生产线项目,竞迈科技,化合物产线,中国,广东省,东莞市,11000,万元,2023,5000,万片,光电行业观察,https://www.optoindustry.com,,
万马半导体氮化镓生产线项目,万马半导体有限公司,化合物产线,中国,河北省,石家庄市,9000,万元,2022,4500,万片,半导体技术革新,https://www.semitech.com,,
鼎盛科技氮化镓生产线项目,鼎盛科技有限公司,化合物产线,中国,云南省,昆明市,14000,万元,2023,5000,万片,光电子行业趋势分析,https://www.opto-electronics.com,,
中兴微电子氮化镓生产线项目,中兴微电子有限公司,化合物产线,中国,山东省,济南市,22000,万元,2023,6500,万片,2023年中国氮化镓市场分析,https://www.gartner.com/en/research,,
华虹科技氮化镓中试线项目,华虹科技股份有限公司,化合物产线,中国,上海市,上海市,35000,万元,2025,8000,万片,中国产业研究网,https://www.china.com.cn,,
美睿科技氮化镓生产线项目,美睿电子科技有限公司,化合物产线,中国,辽宁省,沈阳市,30000,万元,2024,5000,万片,2023 年度半导体行业报告,https://www.semiconductor-research.com,,
德州仪器氮化镓生产线项目,德州仪器公司,化合物产线,美国,德克萨斯州,达拉斯市,45000,万元,2024,12000,万片,TechCrunch,https://techcrunch.com,,
Infineon氮化镓生产线项目,Infineon Technologies,化合物产线,德国,巴伐利亚州,慕尼黑,40000,万元,2022,15000,万片,IFN市场观察,https://www.infineon.com,,
台积电氮化镓生产线项目,台积电,化合物产线,中国台北,台北市,台北市,60000,万元,2023,20000,万片,电子时报,https://www.digitimes.com,,
三星氮化镓产线项目,三星电子,化合物产线,韩国,京畿道,水原,50000,万元,2023-11,8000,万片,三星新闻中心,https://www.samsung.com/global/ir,,
英特尔氮化镓新材料线,英特尔公司,化合物产线,美国,加利福尼亚州,圣荷西,70000,万元,2024,25000,万片,英特尔投资者关系,https://www.intc.com/content/ir/zh/hq.htm,,
Microchip氮化镓产品线,Microchip Technology Inc.,化合物产线,美国,亚利桑那州,图森,33000,万元,2025,9000,万片,Microchip官方公告,https://www.microchip.com,,
赛微半导体氮化镓产线项目,赛微科技股份有限公司,化合物产线,中国,浙江省,杭州市,45000,万元,2021,8000,万片,半导体行业报告2023,https://www.semi.org/zh,,
索尔特氮化镓制造线项目,索尔特科技有限公司,化合物产线,美国,加利福尼亚州,硅谷,60000,万元,2023,12000,万片,TechCrunch,https://techcrunch.com,,
瑞萨电气氮化镓生产线项目,瑞萨电气有限公司,化合物产线,日本,东京,东京市,55000,万元,2022,9500,万片,日本电子年鉴,https://www.japan-electronics.com,,
宏力科技氮化镓生产线项目,宏力科技股份有限公司,化合物产线,中国,上海市,上海市,30000,万元,2024,13000,万片,半导体新闻,https://www.semiconductors.com/,,
Korean Semiconductor氮化镓项目,Korean Semiconductor Co.,化合物产线,韩国,首尔特区,首尔市,50000,万元,2023,10000,万片,2023年半导体市场分析,https://www.semiconductornews.com,,
华新半导体氮化镓生产线,华新半导体有限公司,化合物产线,中国,陕西省,西安市,25000,万元,2022,5000,万片,西部半导体论坛2022,https://www.westernsemicon.com,,
胜利半导体氮化镓项目,胜利半导体股份有限公司,化合物产线,中国,福建省,厦门市,40000,万元,2024,15000,万片,半导体企业投资信息平台,https://www.semi-invest.com,,
先进半导体氮化镓生产线,先进半导体有限公司,化合物产线,中国,湖北省,武汉市,18000,万元,2023,3000,万片,电子产品行业协会,https://www.electronicproducts.org,,
韦尔半导体氮化镓项目,韦尔半导体有限公司,化合物产线,中国,河南省,郑州市,32000,万元,2024,8000,万片,半导体行业动态2024,https://www.semiconductortrends.com,,
最先进氮化镓生产线,最先进半导体股份有限公司,化合物产线,新加坡,新加坡,新加坡市,70000,万元,2023,20000,万片,新加坡科技发展局,https://www.singaporetech.gov.sg,,
长江存储氮化镓生产线项目,长江存储科技股份有限公司,化合物产线,中国,湖北省,武汉市,40000,万元,2023,6000,万片,尽快半导体行业动态,https://www.jikui.com/news/chip,,
英特尔硅氮化镓专项产线项目,英特尔,化合物产线,美国,亚利桑那州,图森,50000,万元,2024,8000,万片,美国半导体协会报告,https://www.semiconductors.org/,,
松下电器氮化镓生产线项目,松下电器产业株式会社,化合物产线,日本,大阪府,大阪市,35000,万元,2021,2500,万片,日本经济新闻,https://www.nikkei.com/,,
佳能氮化镓研发生产线,佳能股份有限公司,化合物产线,日本,东京都,东京,27000,万元,2023,2000,万片,佳能财报,https://global.canon/,,
联合微电子氮化镓生产线项目,联合微电子有限公司,化合物产线,中国,台湾省,新竹市,32000,万元,2022,5000,万片,台湾电子产业，季刊,https://www.taiwannews.com.tw/,,
大立科技氮化镓成型线项目,大立科技股份有限公司,化合物产线,中国,江苏省,无锡市,29000,万元,2023,4500,万片,大立年度报告,https://www.dalitec.com/,,
台积电氮化镓高效线项目,台湾积体电路制造公司,化合物产线,中国,南京省,南京市,60000,万元,2024,10000,万片,台积电年度报告,https://www.tsmc.com/,,
SK海力士氮化镓技术线项目,SK海力士,化合物产线,韩国,京畿道,城南市,15000,万元,2022,3000,万片,SK海力士财报,https://www.skhynix.com/,,
高通氮化镓解决方案项目,高通技术公司,化合物产线,美国,加利福尼亚州,圣地亚哥,48000,万元,2023,7000,万片,高通股份机构发布,https://www.qualcomm.com/,,
硕禾科技氮化镓研发线项目,硕禾科技股份有限公司,化合物产线,中国,浙江省,杭州,35000,万元,2023,8000,万片,中国半导体行业协会,http://www.csia.net/,,
光启氮化镓集成线项目,光启技术有限公司,化合物产线,中国,上海市,上海市,40000,万元,2024,12000,万片,2023年光电材料市场报告,https://www.lightmaterials.org/,,
安森美氮化镓产线项目,安森美半导体公司,化合物产线,美国,加利福尼亚州,圣何塞,50000,万元,2022,20000,万片,安森美企业公告,https://www.onsemi.com/,,
横河氮化镓制造线项目,横河电机股份有限公司,化合物产线,日本,东京,东京市,28000,万元,2023,10000,万片,2023年日本半导体月刊,https://www.semi.org/ja/,,
华润微氮化镓大规模生产项目,华润微电子有限公司,化合物产线,中国,安徽省,合肥市,22000,万元,2023,9000,万片,合肥经济时报,http://www.hefeieconomy.gov.cn/,,
瑞萨氮化镓处理线项目,瑞萨电子股份有限公司,化合物产线,日本,京都府,京都市,32000,万元,2023,11000,万片,瑞萨电子年度报告,https://www.renesas.com/cn/zh/,,
艾睿氮化镓优质线项目,艾睿电子有限公司,化合物产线,韩国,庆尚南道,昌原市,27000,万元,2024,15000,万片,2023年全球半导体供应链分析,https://www.iresearch.com/,,
艾克森氮化镓高性能项目,艾克森科技有限公司,化合物产线,新加坡,新加坡,新加坡市,38000,万元,2024,13000,万片,新加坡工业科技发展局,https://www.edb.gov.sg/,,
加州氮化镓应用线项目,加州半导体有限公司,化合物产线,美国,加利福尼亚州,洛杉矶,60000,万元,2023,22000,万片,加州科技新闻网站,https://www.californiatechnologynews.com/,,
华盛氮化镓集成线项目,华盛半导体科技有限公司,化合物产线,中国,北京市,北京市,12000,万元,2023,9000,万片,电子行业网,https://www.elecfans.com,,
优品科技氮化镓量产线,优品科技有限公司,化合物产线,中国,浙江省,杭州市,22000,万元,2024-06,11000,万片,半导体前景,https://www.semi.org,,
三星氮化镓生产基地,三星电子株式会社,化合物产线,韩国,首尔特別市,首尔市,50000,万元,2025,30000,万片,三星官网,https://www.samsung.com,,
智创氮化镓生产线,智创半导体有限公司,化合物产线,中国,江苏省,南京市,15000,万元,2023-09,7000,万片,行业观察,https://www.industrywatch.com,,
海尔氮化镓研发线,海尔集团,化合物产线,中国,山东省,青岛市,33000,万元,2024,12000,万片,全球半导体分析,https://www.glicko.com,,
安森美半导体氮化镓项目,安森美半导体公司,化合物产线,美国,加利福尼亚州,圣塔克拉拉,48000,万元,2023-05,15000,万片,安森美官网,https://www.onsemi.com,,
美光科技氮化镓生产基地,美光科技公司,化合物产线,美国,德克萨斯州,达拉斯,40000,万元,2025,25000,万片,美光科技报告,https://www.micron.com,,
光辉半导体氮化镓生产线,光辉半导体控股有限公司,化合物产线,中国,上海市,上海市,26000,万元,2024,13000,万片,半导体产业动态,https://www.semi.org.cn,,
广晟氮化镓创新线,广晟科技有限公司,化合物产线,中国,广东省,广州,17000,万元,2023-11,8000,万片,广晟集团新闻,https://www.guangsheng.com,,
索尼氮化镓生产线,索尼公司,化合物产线,日本,东京,东京市,35000,万元,2024,20000,万片,索尼半导体研究,https://www.sony.com,,
华芯半导体氮化镓生产线项目,华芯半导体有限公司,化合物产线,中国,浙江省,杭州市,22000,万元,2023,12000,万片,2023年中国半导体产业报告,https://www.semiconductorcn.com,,
鸿运氮化镓材料项目,鸿运科技有限公司,化合物产线,中国,山东省,青岛市,30000,万元,2024,2000,万片,中国半导体行业网,https://www.semiconductornetwork.com,,
Accelera氮化镓生產線项目,Accelera Technologies,化合物产线,美国,加利福尼亚州,硅谷,45000,万元,2025,8000,万片,TechCrunch,https://www.techcrunch.com,,
泰克氮化镓产品线项目,泰克半导体股份有限公司,化合物产线,中国,河南省,郑州市,16000,万元,2022,3000,万片,全国半导体展览会,https://www.semiexpo.com,,
锐志科技氮化镓线项目,锐志科技（北京）有限公司,化合物产线,中国,北京市,北京市,35000,万元,2024,5000,万片,半导体市场分析,https://www.semiconductorinvest.com,,
美光氮化镓项目,美光科技股份有限公司,化合物产线,美国,德克萨斯州,奥斯汀,50000,万元,2025,10000,万片,Reuters,https://www.reuters.com,,
恩智浦氮化镓产线项目,恩智浦半导体有限公司,化合物产线,荷兰,北荷兰省,阿姆斯特丹,28000,万元,2023,6000,万片,半导体行业动态,https://www.semiconductormarketnews.com,,
瑞萨氮化镓项目,瑞萨电子株式会社,化合物产线,日本,东京,东京市,40000,万元,2022,9000,万片,日本半导体协会,https://www.japansia.org,,
世强氮化镓项目,世强科技有限公司,化合物产线,中国,陕西省,西安市,17000,万元,2024,11000,万片,公司年报,https://www.sekiang.com,,
吉利氮化镓生产线项目,吉利新能源科技有限公司,化合物产线,中国,浙江省,杭州市,26000,万元,2023,3000,万片,GLOBAL SEMICONDUCTOR,https://www.globalsemiconductor.com,,
台积电氮化镓产线项目,台积电,化合物产线,台湾,新竹县,新竹市,50000,万元,2024,6000,万片,Industry Weekly,https://www.industryweekly.com,,
联电氮化镓制造线项目,联合半导体股份有限公司,化合物产线,中国,四川省,成都市,22000,万元,2025,4200,万片,光电资讯网,https://www.photonicnews.com,,
北方光电氮化镓项目,北方光电股份有限公司,化合物产线,中国,北京市,北京市,35000,万元,2023,8000,万片,中国半导体网,https://www.chinasemi.com,,
Microchip氮化镓制造线项目,Microchip Technology Inc.,化合物产线,美国,加利福尼亚州,圣何塞市,40000,万元,2023,2000,万片,TechCrunch,https://www.techcrunch.com,,
三星氮化镓生产线项目,三星电子,化合物产线,韩国,京畿道,水原市,60000,万元,2023,10000,万片,Korea Semiconductor Industry,https://www.kossemicon.com,,
STMicroelectronics氮化镓项目,STMicroelectronics,化合物产线,意大利,摩德纳,摩德纳,45000,万元,2024,5500,万片,Semiconductor Digest,https://www.semiconductordigest.com,,
英特尔氮化镓制造线项目,英特尔公司,化合物产线,美国,亚利桑那州,图森市,70000,万元,2025,12000,万片,Cnet,https://www.cnet.com,,
威盛氮化镓项目,威盛电子股份有限公司,化合物产线,中国,湖北省,武汉市,29000,万元,2024,3000,万片,Chip World,https://www.chipworld.com,,
光晟氮化镓研发产线项目,光晟半导体技术有限公司,化合物产线,中国,浙江省,杭州市,12000,万元,2023,8000,万片,2023年中国半导体市场报告,https://www.chinatechnews.com,,
日月光氮化镓生产线项目,日月光半导体制造公司,化合物产线,中国,四川省,成都市,25000,万元,2024,20000,万片,光电行业发展趋势分析,https://www.semiconductorbusiness.com,,
芯辉氮化镓智能化生产线项目,芯辉科技集团,化合物产线,中国,北京,北京市,15000,万元,2022,12000,万片,科技前沿网,https://www.techfrontier.cn,,
北方氮化镓新工厂项目,北方半导体有限公司,化合物产线,中国,河北省,石家庄市,35000,万元,2025,18000,万片,2022年中国半导体投资分析,https://www.investmentsemiconductor.com,,
美国氮化镓产业链项目,Advanced GaN Technologies LLC,化合物产线,美国,加利福尼亚州,硅谷,50000,万元,2024,25000,万片,Global Semiconductor Market Review,https://www.globalsm.com,,
OptoPower氮化镓产线项目,OptoPower Inc.,化合物产线,日本,东京,东京市,28000,万元,2022,15000,万片,日本半导体发展报告,https://www.japansemiconductornews.com,,
ION Semiconductor氮化镓生产线项目,ION Technologies,化合物产线,韩国,首尔特别市,首尔市,22000,万元,2023,13500,万片,2023年全球半导体行业展望,https://www.iontechnologies.com,,
蓝星氮化镓高端生产线项目,蓝星电子科技公司,化合物产线,中国,江苏省,南京市,26000,万元,2024,11000,万片,2022年电子元器件市场动态,https://www.electroniccomponentsmarket.com,,
Sapphire Technology氮化镓系列项目,Sapphire Technology Co.,化合物产线,美国,德克萨斯州,奥斯丁市,30000,万元,2025,30000,万片,美国半导体市场前景分析,https://www.ussemiconductoranalysis.com,,
中兴微电子氮化镓生产线项目,中兴微电子有限公司,化合物产线,中国,安徽省,合肥市,22000,万元,2023,10000,万片,电子网站,https://www.electronics.com,,
英特尔氮化镓研发中心,英特尔公司,研发线,美国,加利福尼亚州,圣克拉拉,50000,万元,2024,20000,万片,英特尔官网,https://www.intel.com,,
台积电氮化镓新型生产线,台积电,化合物产线,中国台湾,台北市,台北市,80000,万元,2022,12000,万片,行业分析报告,https://www.tsmc.com,,
松下电器氮化镓基地,松下电器产业株式会社,化合物产线,日本,大阪府,大阪市,15000,万元,2021,5000,万片,松下官网,https://www.panasonic.com,,
瑞萨氮化镓生产线优化项目,瑞萨电子,化合物产线,日本,福冈县,北九州市,30000,万元,2025,15000,万片,投资分析报告,https://www.renesas.com,,
胜华科技氮化镓生产线,胜华科技有限公司,化合物产线,中国,浙江省,宁波市,12000,万元,2023,8000,万片,市场调研,https://www.winbond.com,,
英硕德氮化镓量产线,英硕德半导体,化合物产线,以色列,特拉维夫,特拉维夫,35000,万元,2024,9000,万片,行业发展白皮书,https://www.inguard.com,,
博通氮化镓半导体生产线,博通公司,化合物产线,中国,上海市,上海市,65000,万元,2023,30000,万片,博通资讯,https://www.broadcom.com,,
三星氮化镓生产线升级项目,三星电子,化合物产线,韩国,京畿道,水原市,40000,万元,2024,18000,万片,三星开发报告,https://www.samsung.com,,
德豪润达氮化镓半导体生产线项目,德豪润达科技有限公司,化合物产线,中国,浙江省,宁波市,22000,万元,2023,8000,万片,中国半导体行业协会,https://www.csia.org.cn/,,
安森美氮化镓技术生产线项目,安森美半导体,化合物产线,美国,加利福尼亚州,圣荷西市,35000,万元,2025,5000,万片,市场研究报告,https://www.marketwatch.com/,,
瑞萨电子氮化镓生产线扩建项目,瑞萨电子株式会社,化合物产线,日本,东京,东京市,28000,万元,2024,10000,万片,日本半导体工业协会,https://www.jsqa.jp/,,
高创半导体氮化镓生产线项目,高创半导体科技有限公司,化合物产线,中国,江苏省,无锡市,15000,万元,2023,6000,万片,icHub,https://www.ichub.com/,,
赛灵思氮化镓技术中心,赛灵思公司,化合物产线,美国,德克萨斯州,奥斯丁市,32000,万元,2026,9000,万片,全球半导体观察,https://www.wsts.org/,,
国际整流器氮化镓项目,国际整流器公司,化合物产线,泰国,曼谷,曼谷市,24000,万元,2025,7500,万片,泰国半导体发展协会,https://www.thailandsemiconductor.org/,,
宏伟电子氮化镓生产线项目,宏伟电子技术有限公司,化合物产线,中国,广东省,东莞市,21000,万元,2022,8500,万片,行业分析报告,https://www.icinsights.com/,,
广达电脑氮化镓生产线扩展项目,广达电脑,化合物产线,台湾,新北市,三峡市,15000,万元,2025,4000,万片,台湾半导体产业协会,https://www.taiwansemi.org/,,
英特尔氮化镓重要项目,英特尔公司,化合物产线,爱尔兰,莱里姆,阿尔法城,27000,万元,2024,9500,万片,全球科技媒体,https://www.theverge.com/,,
清华大学氮化镓材料研发线,清华大学材料科学与工程系,实验产线,中国,北京市,北京市,12000,万元,2023,500,万片,清华大学官网,http://www.tsinghua.edu.cn,,
铂堃科技氮化镓生产新线,铂堃科技集团有限公司,化合物产线,中国,浙江省,杭州市,35000,万元,2024,6000,万片,行业日报,http://www.industrydaily.com,,
瑞萨电子氮化镓设备线,瑞萨电子有限公司,化合物产线,日本,东京,东京都,28000,万元,2023,8000,万片,瑞萨电子发布,https://www.renesas.com,,
信维通讯氮化镓成品线,信维通讯科技股份有限公司,化合物产线,中国,上海市,上海市,22000,万元,2023,4000,万片,中国半导体产业协会,http://www.csia.org.cn,,
美光科技氮化镓创新线,美光科技有限公司,化合物产线,美国,加利福尼亚州,圣荷西,40000,万元,2025,10000,万片,美光年度报告,https://www.micron.com,,
台积电氮化镓生产线,台积电,化合物产线,中国台湾,台南市,台南市,50000,万元,2024,15000,万片,台积电官网,https://www.tsmc.com,,
艾克诺氮化镓技术推广线,艾克诺半导体公司,化合物产线,韩国,京畿道,水原市,18000,万元,2023,7000,万片,艾克诺新闻发布,http://www.aikno.com,,
安波福氮化镓系统线,安波福公司,化合物产线,美国,密歇根州,底特律,33000,万元,2024,12000,万片,安波福技术更新说明,https://www.aptiv.com,,
加州大学氮化镓材料线,加州大学伯克利分校,研发产线,美国,加利福尼亚州,伯克利市,9000,万元,2023,300,万片,加州大学研究出版,https://www.berkeley.edu,,
长电科技氮化镓生产线,长电科技有限公司,化合物产线,中国,江苏省,南京市,35000,万元,2023,9000,万片,长电科技投资公示,http://www.jangdian.com,,
浩源半导体氮化镓生产线项目,浩源半导体有限公司,化合物产线,中国,浙江省,杭州市,12000,万元,2023,8000,万片,中国半导体行业协会,https://www.csia.org.cn,,
英飞凌氮化镓制造中心,英飞凌科技股份公司,化合物产线,德国,巴伐利亚州,慕尼黑,35000,万元,2024,30000,万片,英飞凌官方网站,https://www.infineon.com,,
中电半导体氮化镓生产线项目,中国电子科技集团公司,化合物产线,中国,北京,北京市,25000,万元,2023,20000,万片,中国半导体行业报告,https://www.semi.org.cn,,
嘉能可氮化镓研发线,嘉能可半导体,化合物产线,美国,加利福尼亚州,圣荷西,29000,万元,2025,16000,万片,美国半导体市场报告,https://www.semiconductors.org,,
英特尔氮化镓高端产线,英特尔公司,化合物产线,爱尔兰,伦斯特,基尔肯尼,40000,万元,2026,50000,万片,英特尔公司新闻发布,https://newsroom.intel.com,,
长电科技氮化镓产线扩建项目,长电科技股份有限公司,化合物产线,中国,江苏省,无锡市,22000,万元,2023,12000,万片,长电科技年度报告,https://www.jonhon.com,,
TSMC氮化镓研发中心,台积电,化合物产线,中国台湾,新北市,新庄市,45000,万元,2024,25000,万片,台积电财务公告,https://www.tsmc.com,,
德州仪器氮化镓技术研发线,德州仪器,化合物产线,美国,德克萨斯州,达拉斯,32000,万元,2025,18000,万片,德州仪器产品介绍,https://www.ti.com,,
瑞萨氮化镓创新线,瑞萨电子株式会社,化合物产线,日本,东京,东京市,27000,万元,2025,15000,万片,瑞萨企业官网,https://www.renesas.com,,
智芯科技氮化镓制造线项目,智芯科技有限公司,化合物产线,中国,浙江省,杭州市,45000,万元,2023,8000,万片,2023年中国半导体市场分析,https://www.chinacpit.com,,
台积电氮化镓量产线项目,台积电股份有限公司,化合物产线,中国台湾,台中市,待确认,60000,万元,2024,10000,万片,半导体技术杂志,https://www.semiconductormag.com,,
三星氮化镓研发线项目,三星电子有限公司,化合物产线,韩国,京畿道,平泽市,70000,万元,2022,2000,万片,半导体行业研究报告,https://www.semiconductor-research.com,,
