受理号（数字型）,区块链技术名称（字符型）,区块链技术类型（字符型）,注册分类（字符型）,申请类型（数字型）,承办日期（日期型）,企业名称（字符型）,联合申报企业名称（字符型）,办理状态（字符型）,状态开始时间（日期型）,审评结论（字符型）,规范企业名称（字符型）,系统构成（字符型）,试验登记号（数字型）,适用领域（数字型）,适应症（品种）（字符型）,区块链技术类型（字符型）,注册版本（字符型）,区块链特征（字符型）,采集来源,来源链接,采集时间,备注
桂网信备45010023567890180023号,Avalanche,公有区块链,功能测试,公有区块链,2023-08-12,浙江诺和诺德制药有限公司,辽宁百特制药有限公司,NOP区块链科技有限公司,2023-08-15,待审查,Avalanche Labs,多链架构,20230108,供应链,透明供应链管理,公有区块链,V1.0,高吞吐量、低延迟,技术趋势出版社,http://www.iotprogress.com,2024-09-28,
粤网信备44030112345678901234号,Algorand,公有区块链,系统审计,公有区块链,2023-09-01,广东金药药品有限公司,联合制药股份有限公司,GHJ金融科技有限公司,2023-09-10,合格,Algorand Foundation,纯粹证明共识,20230109,金融,去中心化金融,公有区块链,V1.0,快速交易、低费用,国际金融论坛,http://www.blockchaintechnews.com,2024-09-28,
浙网信备33050198765432109876号,Tezos,自我修正区块链,性能测试,自我修正区块链,2023-09-20,天津赛诺菲生物制药有限公司,昆药集团股份有限公司,EFG科技有限公司,2023-09-25,待审查,Tezos Foundation,自我治理,20230110,制造业,智能合约,自我修正区块链,V1.0,模块化、可升级性,行业区块链协会,http://www.cbta.org.cn,2024-09-28,
苏网信备32010623456789012345号,EOS,公有区块链,功能测试,公有区块链,2023-10-01,安徽辉瑞制药有限公司,康希诺生物股份有限公司,PQR科技有限责任公司,2023-10-05,合格,Block.one,高性能区块链,20230111,社交媒体,社交网络去中心化,公有区块链,V1.0,高吞吐量、低成本,中国社交媒体研究院,https://www.fintechassociation.org,2024-09-28,
鲁网信备37020234567890123456号,NEO,公有区块链,安全审计,公有区块链,2023-10-15,湖北长征药业有限公司,康宁制药有限公司,WXY数字技术有限公司,2023-10-20,待审查,NEO Foundation,智能合约平台,20230112,金融,资产数字化,公有区块链,V1.0,高安全性、易用性,国家政策研究院,http://www.blockchainreport.com,2024-09-28,
川网信备51010087654321098765号,BSC,公有区块链,系统审计,公有区块链,2023-11-01,辽宁百特制药有限公司,康宁医药研发中心,BCD数字科技有限公司,2023-11-05,合格,Binance,多链互操作性,20230113,金融,安全资产交易,公有区块链,V1.0,低费用、高便利性,金融科技杂志,http://www.blockchaindaily.com,2024-09-28,
晋网信备14010598765432101234号,Cardano,公有区块链,功能测试,公有区块链,2023-05-20,重庆白求恩药品有限公司,康宁药业有限公司,正在办理,2023-05-25,待审查,IOHK,分层协议,20230106,电子商务,智能合约,公有区块链,V1.0,分层结构、安全,中国区块链技术研究中心,http://www.cbric.org,2024-09-28,
桂网信备45010012345678909876号,Polkadot,跨链协议,性能测试,跨链协议,2023-06-05,福建汇仁药业有限公司,康德生物科技股份有限公司,已完成,2023-06-15,合格,Web3 Foundation,可定制化链,20230107,供应链,跨链互操作,跨链协议,V1.1,可扩展、互操作性,全球区块链协会,https://www.blockchainassociation.org,2024-09-28,
闽网信备35020123456789012345号,Avalanche,公有区块链,安全审计,公有区块链,2023-07-01,陕西冰峰制药有限公司,骏辉生物科技有限公司,正在办理,2023-07-10,待审查,Avalanche Labs,高效共识机制,20230108,资产管理,数字资产交易,公有区块链,V1.0,低延迟、高吞吐量,区块链研究所,https://www.blockchainresearch.org,2024-09-28,
鄂网信备42010623456789012345号,Zilliqa,公有区块链,功能测试,公有区块链,2023-07-15,吉林恒瑞医药股份有限公司,九州通医药集团有限公司,已完成,2023-07-25,合格,Zilliqa Research,分片技术,20230109,传媒,去中心化视频流,公有区块链,V1.0,高性能、去中心化,现代技术杂志,https://www.moderntechmag.com,2024-09-28,
黔网信备52010098765432101234号,EOS,公有区块链,安全审计,公有区块链,2023-08-01,新疆克拉玛依生物医药有限公司,精锐制药股份有限公司,正在办理,2023-08-05,待审查,Block.one,区块链操作系统,20230110,物联网,智能设备管理,公有区块链,V1.0,高可扩展性、灵活性,区块链应用研究中心,http://www.blockchainapplication.org,2024-09-28,
豫网信备41010223604127990003号,Tron,公有区块链,功能测试,公有区块链,2023-08-10,康宁制药有限公司,杰瑞制药有限公司,已完成,2023-08-20,合格,Tron Foundation,内容生态,20230111,影视娱乐,去中心化内容分享,公有区块链,V1.0,高速度、去中心化,IT产业观察,https://www.itindustrywatch.org,2024-09-28,
苏网信备32010523289176120017号,Algorand,公有区块链,性能测试,公有区块链,2023-08-15,赛诺菲亚太药业有限公司,江苏正大天晴药业有限公司,正在办理,2023-08-25,待审查,Algorand Foundation,高性能共识,20230112,供应链,物流跟踪,公有区块链,V1.0,安全、快速,全球金融研究院,https://www.globalfinanceresearch.org,2024-09-28,
粤网信备44010623605128760005号,Hedera,公有区块链,安全审计,公有区块链,2023-09-01,华大基因科技有限公司,江苏正大天晴药业股份有限公司,已完成,2023-09-10,合格,Hedera Hashgraph,有向无环图,20230113,物联网,设备通信,公有区块链,V1.0,高安全性、快速,区块链技术研究中心,http://www.blockchaintechresearch.org,2024-09-28,
陕网信备61010223606125880009号,Cardano,公有区块链,功能测试,公有区块链,2023-06-15,中科院生物物理研究所,江苏药业股份有限公司,正在办理,2023-07-01,待审查,IOHK,权益证明机制,20230106,生态,生态管理,公有区块链,V1.0,可持续性、高效率,中国信息通信研究院,https://www.blockchainresearch.org,2024-09-28,
渝网信备50010123289177250015号,Polkadot,公有区块链,互操作性测试,公有区块链,2023-08-10,九州通医药集团有限公司,江苏信立泰药业股份有限公司,已完成,2023-08-15,合格,Web3 Foundation,跨链协议,20230107,物联网,设备互联,公有区块链,V1.0,可扩展性、多链互操作,区块链研究所,https://www.moderntechmag.com,2024-09-28,
吉网信备22010223607126840012号,Ripple,企业级区块链,交易处理,企业级区块链,2023-09-05,上海医疗器械有限公司,江苏省制药有限公司,正在办理,2023-09-10,合格,Ripple Labs,即时支付网络,20230108,货币兑换,跨境支付,企业级区块链,V1.0,即时性、安全性,国家外汇管理局,http://www.blockchainapplication.org,2024-09-28,
鲁网信备37010323289178380011号,VeChain,企业级区块链,物流追踪,企业级区块链,2023-09-20,绿叶制药有限公司,江苏省医药集团有限公司,已完成,2023-09-25,合格,VeChain Foundation,物联网应用,20230109,物流,商品追踪,企业级区块链,V1.0,透明性、可追溯,世界供应链管理协会,https://www.itindustrywatch.org,2024-09-28,
桂网信备45010223608125490016号,Algorand,公有区块链,安全审计,公有区块链,2023-10-05,药明康德新药开发有限公司,江苏省药物研究院,正在办理,2023-10-10,待审查,Algorand Foundation,高性能账本,20230110,金融,数字资产管理,公有区块链,V1.0,安全性、快速交易,金融科技新闻,https://www.globalfinanceresearch.org,2024-09-28,
赣网信备36010423289179410013号,Polkadot,公有区块链,功能测试,公有区块链,2023-05-15,北京华素制药股份有限公司,江苏省科伦药业股份有限公司,正在办理,2023-05-20,待审查,Web3 Foundation,跨链架构,20230106,物流,供应链管理,公有区块链,V1.0,互操作性、可定制化,区块链技术研究中心,http://www.blockchaintechresearch.org,2024-09-28,
津网信备12010323609127560010号,Avalanche,公有区块链,性能测试,公有区块链,2023-06-10,广东科药制药有限公司,江苏联和药业有限公司,已完成,2023-07-01,合格,Avalanche Labs,多链平台,20230107,供应链,资产追踪,公有区块链,V1.0,高吞吐量、低延迟,全球金融科技协会,https://www.gfta.org,2024-09-28,
皖网信备34020378902456834213号,Cardano,企业级区块链,安全审计,企业级区块链,2023-07-12,华大基因科技有限公司,江苏科技大学药学院,正在办理,2023-07-15,待审查,IOHK,分层架构,20230108,金融,支付系统,企业级区块链,V1.0,智能合约、可扩展性,财经科技新闻,https://www.fintechnews.com,2024-09-28,
京网信备11010586743291204567号,Algorand,公有区块链,功能测试,公有区块链,2023-08-20,北京仁和药业有限公司,江苏康缘药业股份有限公司,已完成,2023-09-02,合格,Algorand Foundation,快速共识机制,20230109,物流,订单验证,公有区块链,V1.0,高效、环保,物流技术月刊,https://www.logisticsmonthly.com,2024-09-28,
浙网信备33020412345678987654号,Tezos,自我修正区块链,系统审计,自我修正区块链,2023-09-15,江苏恒瑞医药股份有限公司,江苏杰诺药业有限公司,正在办理,2023-09-20,待审查,Tezos Foundation,自我治理,20230110,金融,智能合约,自我修正区块链,V1.0,透明、安全,中国区块链技术标准化研究院,http://www.blockchainstandard.org,2024-09-28,
粤网信备44030123456789065432号,Polkadot,跨链区块链,功能测试,跨链区块链,2023-06-12,上海药明康德新药开发股份有限公司,江苏辉瑞制药有限公司,正在办理,2023-06-15,待审查,Web3基金会,跨链协议,20230106,物流,供应链管理,跨链区块链,V1.0,互操作性、安全性,中国信息技术研究院,https://www.gfta.org,2024-09-28,
苏网信备32010698765432112345号,Tezos,自我修正区块链,系统审计,自我修正区块链,2023-07-05,深圳市前海吉药医药科技有限公司,江苏华药集团有限公司,已完成,2023-08-01,合格,Tezos Foundation,治理机制,20230107,传媒,内容分发,自我修正区块链,V1.1,自我治理、高弹性,国家互联网信息办公室,https://www.fintechnews.com,2024-09-28,
晋网信备14010654321876543210号,Chainlink,预言机服务,性能测试,预言机服务,2023-07-20,广州白云山医药集团股份有限公司,江苏恒瑞医药股份有限公司,正在办理,2023-08-05,待审查,Chainlink Labs,去中心化预言机,20230108,保险,合约执行,预言机服务,V1.0,可扩展性、实时数据,中国区块链技术解析网,https://www.logisticsmonthly.com,2024-09-28,
湘网信备43010387654321098765号,Avalanche,公有区块链,功能测试,公有区块链,2023-05-13,浙江省医药科技有限公司,江苏恒瑞医药股份有限公司,已完成,2023-06-01,合格,Avalanche Foundation,多链架构,20230109,物联网,智能设备管理,公有区块链,V1.0,高吞吐量、实时处理,国家科技部,http://www.blockchainstandard.org,2024-09-28,
京网信备11010523456789123456号,Cardano,自我修正区块链,安全审计,自我修正区块链,2023-04-28,陕西康辉药业有限公司,江苏恒瑞医药股份有限公司,正在办理,2023-05-10,待审查,Cardano Foundation,分层架构,20230110,电子商务,去中心化市场,自我修正区块链,V1.0,可扩展性、高安全性,中国科技信息网,https://www.gfta.org,2024-09-28,
宁网信备64010678901234567890号,Algorand,公有区块链,性能测试,公有区块链,2023-05-25,青岛海洋药业有限公司,江苏恒瑞医药股份有限公司,已完成,2023-06-20,合格,Algorand Foundation,去中心化账本,20230111,物流,供应链追踪,公有区块链,V1.0,透明性、高效性,中国区块链应用与研究协会,https://www.fintechnews.com,2024-09-28,
辽网信备21010345678901234567号,EOS,公有区块链,安全审计,公有区块链,2023-06-10,安徽省中药股份有限公司,江苏恒瑞医药股份有限公司,正在办理,2023-07-01,待审查,Block.one,DApp平台,20230112,电子商务,去中心化应用,公有区块链,V1.0,高效性、安全性,中国区块链市场研究院,https://www.logisticsmonthly.com,2024-09-28,
"皖网信备34020223603146870015号,京网信备11010523289175130016号,皖网信备34020223603146870017号,京网信备11010523289175130018号,皖网信备34020223603146870019号,京网信备11010523289175130020号",Holochain,去中心化应用,功能测试,去中心化应用,2023-08-01,华海药业股份有限公司,江苏恒瑞医药股份有限公司,已完成,2023-08-15,合格,Holochain Foundation,应用架构,20230113,文化创意,社区治理,去中心化应用,V1.0,用户主权、去中心化,中国区块链技术研究中心,http://www.blockchainstandard.org,2024-09-28,
皖网信备34020223456127870015号，京网信备11010523289175240016，陕网信备61020223678945670017，浙网信备33010423456789060018，粤网信备44010623234567890019，苏网信备32010623456712340020，沪网信备31010123456789010021，冀网信备13010223456789060022,Cardano,公有区块链,性能测试,公有区块链,2023-06-01,恒瑞医药股份有限公司,江苏恒瑞医药股份有限公司,正在办理,2023-06-15,待审查,IOHK,分层架构,20230106,电子商务,在线支付,公有区块链,V1.0,可伸缩性、智能合约,中国信息通信研究院,http://www.caict.ac.cn,2024-09-28,
"皖网信备34020223874512345678号,京网信备11010523987654321012号,粤网信备44010623567893456789号,苏网信备32010223456789012345号,浙网信备33010623789012345678号,川网信备51010623876543210987号,沪网信备31010123654321098765号,冀网信备13010423678901234567号,晋网信备14010623567890123456号,鄂网信备42010623456789012345号",Polkadot,公有区块链,功能测试,公有区块链,2023-06-10,武汉生物制品研究所,江苏恒瑞医药股份有限公司,已完成,2023-07-01,合格,Web3 Foundation,多链架构,20230107,物联网,设备互联,公有区块链,V1.1,互操作性、高安全性,国家信息中心,https://www.nic.gov.cn,2024-09-28,
"皖网信备34020223603146980013号,京网信备11010523289175260015号,沪网信备31010123603147090016号,粤网信备44030023603147170017号,苏网信备32010023603147280018号,川网信备51010023603147340019号,浙网信备33010023603147450020号,鲁网信备37020023603147560021号",Algorand,公有区块链,系统审计,公有区块链,2023-07-05,深圳康宁杰瑞生物科技有限公司,江苏恒瑞医药股份有限公司,正在办理,2023-07-20,待审查,Algorand Foundation,快速确认机制,20230108,金融,数字货币交易,公有区块链,V2.0,高速、环保,中国区块链应用研究中心,http://www.cbarc.cn,2024-09-28,
"浙网信备33020183329146930015号,粤网信备44010612345678910011号,沪网信备31010198765432100016号,湘网信备43010234567890120013号,鲁网信备37020098765432140018号,皖网信备34020234567890170012号,苏网信备32010412345678980019号,辽网信备21010534567890160010号",Avalanche,公有区块链,安全审计,公有区块链,2023-07-15,江苏恒瑞医药股份有限公司,江苏恒瑞医药股份有限公司,已完成,2023-08-01,合格,Avalanche Labs,模块化架构,20230109,金融,合约执行,公有区块链,V1.0,高效能、可调节性,国家金融监督管理委员会,https://www.nifa.gov.cn,2024-09-28,
皖网信备34020223603146870015号,Chainlink,去中心化预言机,性能测试,去中心化预言机,2023-07-30,中科院生物物理研究所,江苏恒瑞医药股份有限公司,正在办理,2023-08-15,待审查,Chainlink Labs,去中心化服务,20230110,钱包服务,智能合约数据提供,去中心化预言机,V1.0,实时数据、高稳定性,区块链数字经济研究中心,http://www.bdedc.cn,2024-09-28,
京网信备11010523289175130016号,Hedera,公有区块链,安全审计,公有区块链,2023-08-05,成都人福医药有限公司,江苏恒瑞医药股份有限公司,已完成,2023-08-22,合格,Hedera Hashgraph,无许可系统,20230111,供应链,过程优化,公有区块链,V1.2,高速度、低费用,中国信息产业部,https://www.miit.gov.cn,2024-09-28,
粤网信备44030334783146870017号,Zilliqa,公有区块链,系统审计,公有区块链,2023-08-10,辽宁豪森药业有限公司,江苏恒瑞医药股份有限公司,正在办理,2023-08-25,待审查,Zilliqa Research,分片架构,20230112,内容创作,去中心化内容管理,公有区块链,V1.0,高效、用户友好,国际数字经济论坛,http://www.ideasforum.org,2024-09-28,
苏网信备32010645893146870018号,EOS,公有区块链,功能测试,公有区块链,2023-09-01,亿帆医药股份有限公司,江苏汉邦制药有限公司,已完成,2023-09-15,合格,Block.one,基于区块链的分布式应用,20230113,社交媒体,去中心化社交网络,公有区块链,V1.0,用户友好、多功能,中国区块链技术研究中心,http://www.cbtrc.cn,2024-09-28,
浙网信备33010376823146870019号,Polkadot,公有区块链,性能测试,公有区块链,2023-06-05,浙江医药有限公司,江苏常青藤生物科技有限公司,已完成,2023-06-20,合格,Web3 Foundation,平行链,20230106,互联网,跨链交互,公有区块链,V1.0,多链架构、可扩展性,中国互联网信息中心,https://www.nic.gov.cn,2024-09-28,
鲁网信备37011257893146870020号,Avalanche,公有区块链,功能测试,公有区块链,2023-07-10,上海现代制药股份有限公司,健康护航制药有限公司,正在办理,2023-07-15,待审查,Avalanche Labs,分布式计算,20230107,供应链,资产追踪,公有区块链,V1.0,高吞吐量、低延迟,国际数字经济研究院,http://www.cbarc.cn,2024-09-28,
闽网信备35010398743146870021号,Near Protocol,公有区块链,安全审计,公有区块链,2023-08-15,北京科兴生物技术有限公司,佳悦药物研究院,已完成,2023-09-01,合格,Near Foundation,分片技术,20230108,物联网,设备身份验证,公有区块链,V1.0,高性能、可自适应,中国物联网协会,https://www.nifa.gov.cn,2024-09-28,
鄂网信备42010687623146870022号,Cardano,公有区块链,标准化审查,公有区块链,2023-09-20,昆药集团股份有限公司,佳药科技股份公司,正在办理,2023-10-01,待审查,Cardano Foundation,权益证明协议,20230109,教育,学位认证,公有区块链,V1.0,可验证性、合作性,教育部,http://www.bdedc.cn,2024-09-28,
川网信备51010545673146870023号,Blockchain.com,公有区块链,数据隐私,公有区块链,2023-10-05,山东新华制药股份有限公司,佳瑞制药有限公司,已完成,2023-10-15,合格,Blockchain.com,多元化平台,20230110,金融,数据交换,公有区块链,V1.0,即用即付、可扩展性,中国金融信息中心,https://www.miit.gov.cn,2024-09-28,
皱网信备32050626793146870024号,Algorand,公有区块链,效率审查,公有区块链,2023-10-10,长春长生生物科技有限公司,吉林省医药公司,正在办理,2023-10-12,待审查,Algorand Foundation,权益证明,20230111,游戏,去中心化游戏平台,公有区块链,V1.0,快速处理、高安全性,全球区块链协会,http://www.ideasforum.org,2024-09-28,
皖网信备34020223604891230013号,EOSIO,公有区块链,功能验证,公有区块链,2023-10-15,北京华药制药有限公司,吉林恒瑞医药股份有限公司,已完成,2023-10-30,合格,Block.one,智能合约,20230112,娱乐,游戏开发,公有区块链,V1.0,高性能、灵活性,游娱网,http://www.cbtrc.cn,2024-09-28,
京网信备11010523289212340015号,Stacks,公有区块链,系统审计,公有区块链,2023-11-01,上海药明康德新药开发股份有限公司,辉瑞中国有限公司,正在办理,2023-11-05,待审查,Stacks Foundation,智能合约平台,20230113,经济,去中心化金融,公有区块链,V1.0,抗审查、可编程性,金融科技创新中心,https://www.nic.gov.cn,2024-09-28,
苏网信备32010623605386750019号,Polkadot,公有区块链,功能测试,公有区块链,2023-05-20,广东省中药研究院,华医药品有限公司,正在办理,2023-06-01,待审查,Web3 Foundation,跨链协议,20230106,供应链,供应链管理,公有区块链,V1.0,可扩展性、安全性,中国区块链技术与应用研究中心,http://www.cbarc.cn,2024-09-28,
浙网信备33010623607245680016号,Avalanche,公有区块链,性能测试,公有区块链,2023-05-25,重庆大江药业有限公司,华药制药有限公司,已完成,2023-06-05,合格,Avalanche Labs,共识机制,20230107,交通,交通运输服务,公有区块链,V1.0,快速交易、低成本,国际区块链协会,https://www.nifa.gov.cn,2024-09-28,
粤网信备44010623608432120020号,Algorand,公有区块链,安全审计,公有区块链,2023-06-01,江苏恒瑞医药股份有限公司,华药制药有限公司,正在办理,2023-06-15,待审查,Algorand Foundation,高效算法,20230108,电子商务,在线支付,公有区块链,V1.0,高可用性、低延迟,链科技信息网,http://www.bdedc.cn,2024-09-28,
川网信备51010623609124560017号,Cardano,公有区块链,功能测试,公有区块链,2023-06-10,浙江医药股份有限公司,华药制药有限公司,已完成,2023-06-20,合格,IOHK,分层架构,20230109,物联网,智能家居,公有区块链,V1.0,高安全性、可扩展性,国家互联网信息办公室,https://www.miit.gov.cn,2024-09-28,
辽网信备21010623610875430018号,Ripple,企业级区块链,系统审计,企业级区块链,2023-06-15,湖北天方药业有限公司,华药生物科技有限公司,正在办理,2023-06-25,待审查,Ripple Labs,分布式账本,20230110,电子支付,跨境支付,企业级区块链,V1.0,快速、高效,区块链研究院,http://www.ideasforum.org,2024-09-28,
闽网信备35010623612297890021号,Bitshares,公有区块链,功能测试,公有区块链,2023-06-22,安徽新安药业股份有限公司,华药集团有限公司,已完成,2023-07-01,合格,Bitshares Foundation,去中心化交易所,20230111,交易所,数字资产交易,公有区块链,V1.0,高流动性、去中心化,中国区块链应用网络,http://www.cbtrc.cn,2024-09-28,
陕网信备61010623613541740022号,Chainlink,公有区块链,性能测试,公有区块链,2023-06-25,武汉生物制品研究所,华药集团有限公司,正在办理,2023-07-05,待审查,Chainlink Labs,去中心化预言机,20230112,保险,智能合约保险,公有区块链,V1.0,可信数据、可靠性,区块链技术促进中心,https://www.nic.gov.cn,2024-09-28,
吉网信备22010623614823650023号,Hedera,公有区块链,安全审计,公有区块链,2023-06-30,成都倍特药业股份有限公司,华药集团有限公司,已完成,2023-07-10,合格,Hedera Hashgraph,有向无环图,20230113,供应链,供应链监控,公有区块链,V1.0,高效率、公正性,新经济与技术研究院,http://www.cbarc.cn,2024-09-28,
粤网信备44030167100498130012号,Polygon,公有区块链,功能测试,公有区块链,2023-06-15,华药生物科技有限公司,华药集团,已完成,2023-06-30,合格,Polygon Technology,多链架构,20230106,物流,供应链管理,公有区块链,V1.0,可扩展性、低交易费用,区块链应用研究中心,https://www.nifa.gov.cn,2024-09-28,
渝网信备50010152498361230015号,Avalanche,公有区块链,性能测试,公有区块链,2023-07-01,佳瑞制药有限公司,华夏药业股份有限公司,正在办理,2023-07-15,待审查,Ava Labs,分层网络,20230107,交通,车辆跟踪,公有区块链,V1.0,快速、安全,国际区块链联盟,http://www.bdedc.cn,2024-09-28,
晋网信备14010937657420540013号,Cardano,公有区块链,安全审计,公有区块链,2023-08-05,鑫诺医药股份有限公司,华夏药品研发中心,已完成,2023-08-20,合格,IOHK,Proof of Stake,20230108,供应链,透明度提升,公有区块链,V1.0,可持续性、节能,全球区块链观察,https://www.miit.gov.cn,2024-09-28,
苏网信备32010640198217760011号,Algorand,公有区块链,功能测试,公有区块链,2023-09-10,天仁药品研发中心,华夏生物科技有限公司,正在办理,2023-09-15,待审查,Algorand Foundation,高效共识机制,20230109,物联网,设备连接,公有区块链,V1.0,快速确认、隐私保护,中国科学院信息研究所,http://www.cbarc.cn,2024-09-28,
浙网信备33010379421500370010号,NEO,公有区块链,性能测试,公有区块链,2023-10-01,赛诺药业集团有限公司,华生药业有限公司,已完成,2023-10-15,合格,NEO Foundation,智能合约平台,20230110,供应链,资产管理,公有区块链,V1.0,灵活性、适应性,Minting Insights,https://www.nifa.gov.cn,2024-09-28,
川网信备51018258971241630014号,Hedera,公有区块链,安全审计,公有区块链,2023-08-20,爱健生物制药有限责任公司,华瑞医药科技有限公司,正在办理,2023-09-01,待审查,Hedera Hashgraph,图形结构,20230111,物理安全,数据隐私,公有区块链,V1.0,低延迟、高安全性,科技前线杂志,http://www.bdedc.cn,2024-09-28,
桂网信备45012138596448570012号,Elrond,公有区块链,功能测试,公有区块链,2023-09-25,高达医疗科技有限公司,华科医药集团,已完成,2023-09-30,合格,Elrond Network,可扩展性网络,20230112,电子商务,交易创新,公有区块链,V1.0,快速、高效,区块链视觉,https://www.miit.gov.cn,2024-09-28,
辽网信备21010376398160020013号,Waves,公有区块链,系统审计,公有区块链,2023-08-12,宏伟药业(集团)公司,华海药业股份有限公司,正在办理,2023-09-01,待审查,Waves Enterprise,多元化平台,20230113,绿色技术,生态监测,公有区块链,V1.0,灵活性、兼容性,区块链技术协作组,http://www.cbarc.cn,2024-09-28,
"皖网信备34020223789012345678号,京网信备11010523678901234567号,粤网信备44030223890123456789号,沪网信备31010123901234567890号,苏网信备32010624012345678901号,浙网信备33010624123456789012号,川网信备51010124234567890123号,湘网信备43010524345678901234号,陕网信备61010224456789012345号,吉网信备22010124567890123456号",Polkadot,跨链区块链,可扩展性测试,跨链区块链,2023-06-05,联合制药股份有限公司,华东医药股份有限公司,已完成,2023-06-10,合格,Web3 Foundation,分层架构,20230106,物联网,设备互联,跨链区块链,V1.0,互操作性、可升级性,区块链研究中心,https://www.chainnews.com,2024-09-28,
"皖网信备34020223603146870015号,京网信备11010523289175130016号,沪网信备31010123603146870017号,粤网信备44010623289175130018号,陕网信备61010423603146870019号,苏网信备32010623289175130020号,浙网信备33010623603146870021号,冀网信备13010423289175130022号,鄂网信备42010623603146870023号,湘网信备43010223289175130024号",Avalanche,公有区块链,性能测试,公有区块链,2023-06-15,优宁达药品开发有限公司,华东医药股份有限公司,正在办理,2023-06-20,待审查,Ava Labs,多链架构,20230107,旅游,智能合约应用,公有区块链,V1.1,高性能、低延迟,金融科技咨询公司,https://www.coindesk.com,2024-09-28,
皖网信备34020223603146870023号,Polygon,第二层解决方案,功能测试,第二层解决方案,2023-07-01,华夏药业股份有限公司,华大基因有限公司,已完成,2023-07-05,合格,Polygon Technology,侧链,20230108,金融,去中心化金融,第二层解决方案,V1.0,低成本、快速交易,Global Blockchain Association,https://www.blockchainassociation.org,2024-09-28,
京网信备11010523289175130029号,Cardano,公有区块链,安全测试,公有区块链,2023-07-10,中药现代化研究院,华大基因科技有限公司,正在办理,2023-07-12,待审查,IOHK,多层架构,20230109,教育,学术记录,公有区块链,V1.0,去中心化、安全性,创新经济研究院,https://www.innovationeconomy.org,2024-09-28,
粤网信备44010612345678900012号,Ripple,企业级区块链,可行性研究,企业级区块链,2023-08-01,骏辉生物科技有限公司,华大基因科技有限公司,已完成,2023-08-05,合格,Ripple Labs,共识账本,20230110,物流,支付解决方案,企业级区块链,V1.0,快速、可靠性,金融科技观察,https://www.fintechwatch.com,2024-09-28,
浙网信备33010623456789010015号,Tezos,自我修正区块链,系统审计,自我修正区块链,2023-08-15,翰博医药有限公司,华大基因科技有限公司,正在办理,2023-08-20,待审查,Tezos Foundation,自我治理,20230111,金融,金融合约,自我修正区块链,V1.0,安全性、灵活性,国际标准化组织,https://www.iso.org,2024-09-28,
苏网信备32010698765432110019号,Hedera Hashgraph,公有区块链,安全审计,公有区块链,2023-09-01,明德制药有限责任公司,华大基因科技有限公司,已完成,2023-09-05,合格,Hedera,分布式账本,20230112,健康care,数据存储,公有区块链,V1.0,高吞吐量、低延迟,技术前沿研究所,https://www.technologyresearch.org,2024-09-28,
鲁网信备37010234567891230011号,Algorand,公有区块链,性能测试,公有区块链,2023-09-15,安泰制药集团,华大基因技术有限公司,正在办理,2023-09-20,待审查,Algorand Foundation,区块链协议,20230113,教育,学术贷款,公有区块链,V1.0,去中心化、快速交易,教育技术协会,https://www.edtechassociation.org,2024-09-28,
鄂网信备42010687654321090022号,Avalanche,公有区块链,性能测试,公有区块链,2023-06-05,亿康药业股份有限公司,湖南华纳药业有限公司,正在办理,2023-06-10,待审查,Avalanche Foundation,分布式平台,20230106,供应链管理,跨境转账,公有区块链,V1.0,可扩展性、高效性,中国数字经济研究院,https://www.innovationeconomy.org,2024-09-28,
吉网信备22010612309876540017号,Polygon,公有区块链,应用审计,公有区块链,2023-07-02,仁爱生物制品有限公司,湖北长征药业有限公司,已完成,2023-07-05,合格,Polygon Technology,二层扩容,20230107,电子商务,快速支付,公有区块链,V1.0,高吞吐量、低延迟,国际区块链协会,https://www.fintechwatch.com,2024-09-28,
渝网信备50010665432109870016号,Algorand,公有区块链,安全审计,公有区块链,2023-07-15,颖达医药科技有限公司,湖北远大医药有限公司,正在办理,2023-07-20,待审查,Algorand Foundation,高性能共识机制,20230108,物联网,数据共享,公有区块链,V1.0,即时交易、低费用,中国互联网发展研究中心,https://www.iso.org,2024-09-28,
津网信备12010632109876540013号,EOS,公有区块链,功能测试,公有区块链,2023-08-01,杰瑞制药有限公司,湖北药品研发中心,已完成,2023-08-05,合格,Block.one,智能合约平台,20230109,娱乐,去中心化存储,公有区块链,V1.0,高吞吐量、低延迟,美国技术创新中心,https://www.technologyresearch.org,2024-09-28,
皖网信备34020345612378900012号,Hedera,公有区块链,安全审计,公有区块链,2023-08-15,华夏生物科技有限公司,湖北天兆药业有限公司,正在办理,2023-08-20,待审查,Hedera Hashgraph,DAG技术,20230110,工业,智能制造,公有区块链,V1.0,高安全性、快速确认,区块链行业协会,https://www.edtechassociation.org,2024-09-28,
京网信备11010698765432140014号,Cardano,公有区块链,应用测试,公有区块链,2023-09-01,绿盾制药股份有限公司,湖北天方药业有限公司,已完成,2023-09-05,合格,IOHK,权益证明机制,20230111,学术,教育应用,公有区块链,V1.0,去中心化、高效能,全球区块链观察,https://www.innovationeconomy.org,2024-09-28,
苏网信备32010432198765420011号,Zilliqa,公有区块链,功能测试,公有区块链,2023-09-15,天诚医药集团,湖北科技药业有限公司,正在办理,2023-09-20,待审查,Zilliqa Research,分片技术,20230112,区块链游戏,去中心化游戏平台,公有区块链,V1.0,低交易费用、高速度,数字资产研究院,https://www.fintechwatch.com,2024-09-28,
