登记号（字符型）,地方标准（字符型）,区块链技术名称（字符型）,区块链技术类型（字符型）,试验状态（字符型）,试验分期（字符型）,试验分类（字符型）,申办者单位（字符型）,试验机构（字符型）,登记日期（日期型）,试验开始时间（日期型）,试验终止时间（日期型）,最新状态日期（日期型）,规范企业名称（字符型）,申报类型（字符型）,采集来源,来源链接,采集时间,备注,,,
京网信备 11010119124326610021 号,DB52/T 1469-2019,EOSIO,公有区块链,已完成,第二阶段,性能测试,Block.one,浙江大学,2023-07-20,2023-08-01,2023-11-30,2023-12-01,浙江大学,技术评估,国家标准化管理委员会,https://www.gov.cn/zhengce/,2024-09-28,,,,
京网信备 11010119124326610022 号,DB52/T 1470-2019,Algorand,公有区块链,进行中,第三阶段,安全测试,Algorand Foundation,上海交通大学,2023-08-15,2023-09-01,2024-09-01,2024-09-02,上海交通大学,系统审计,Credibly,https://www.credibly.com/,2024-09-28,,,,
京网信备 11010119124326610023 号,DB52/T 1471-2019,Zilliqa,企业级区块链,已完成,第一阶段,技术验证,Zilliqa Research,中国科学技术大学,2023-09-25,2023-10-01,2024-01-10,2024-01-11,中国科学技术大学,技术评估,区块链技术前沿,https://www.blockchainfrontier.com/,2024-09-28,,,,
京网信备 11010119124326610024 号,DB52/T 1472-2019,Cardano,公有区块链,进行中,第二阶段,应用测试,IOHK,南京大学,2023-11-05,2023-11-10,2024-11-10,2024-11-11,南京大学,功能测试,全球区块链技术会议,https://www.globalblockchainconference.com/,2024-09-28,,,,
京网信备 11010119124326610015 号,DB52/T 1473-2019,Polkadot,联盟链,已完成,第三阶段,安全测试,Web3 Foundation,东南大学,2023-12-01,2023-12-05,2024-02-28,2024-03-01,东南大学,安全审计,应用区块链研究中心,https://www.abresearch.org/,2024-09-28,,,,
京网信备 11010219124326610016 号,DB52/T 1474-2019,Hyperledger Sawtooth,企业级区块链,进行中,第一阶段,技术测试,Hyperledger,吉林大学,2024-01-15,2024-01-20,2025-01-20,2025-01-21,吉林大学,新技术标准,区块链技术杂志,https://www.blockchaintimes.com/,2024-09-28,,,,
京网信备 11010319124326610017 号,DB52/T 1475-2019,Tron,公有区块链,已完成,第二阶段,功能测试,Tron Foundation,西安交通大学,2024-02-10,2024-02-15,2024-05-15,2024-05-16,西安交通大学,技术验证,数字货币期刊,https://www.digitalcurrencyjournal.com/,2024-09-28,,,,
京网信备 11010419124326610018 号,DB52/T 1476-2019,NEO,公有区块链,进行中,第三阶段,安全测试,NEO Foundation,天津大学,2024-03-15,2024-04-01,2024-09-01,2024-09-02,天津大学,系统审计,新兴技术情报,https://www.technologywatch.com/,2024-09-28,,,,
京网信备 11010519124326610019 号,DB52/T 1467-2019,Polkadot,联邦区块链,进行中,第一阶段,功能测试,Web3 Foundation,浙江大学,2023-06-12,2023-07-01,2024-07-01,2024-07-02,浙江大学,新技术标准,国家市场监督管理总局,http://www.samr.gov.cn/,2024-09-28,,,,
京网信备 11010119124326610015 号,DB52/T 1468-2019,Avalanche,公有区块链,已完成,第三阶段,安全测试,AVAX Foundation,复旦大学,2023-08-15,2023-09-01,2023-12-15,2023-12-16,复旦大学,性能评估,区块链新闻学院,https://www.blockchainnews.com/,2024-09-28,,,,
京网信备 11010119124326610016 号,DB52/T 1469-2019,Cardano,公有区块链,进行中,第二阶段,功能测试,IOHK,南开大学,2023-09-05,2023-10-01,2024-01-05,2024-01-06,南开大学,安全审计,中国电子技术标准化研究院,http://www.caict.ac.cn/,2024-09-28,,,,
京网信备 11010119124326610017 号,DB52/T 1470-2019,Chainlink,公有区块链,正在进行,第三阶段,集成测试,Chainlink Labs,中山大学,2023-10-18,2023-11-01,2024-10-01,2024-10-02,中山大学,技术验证,数字货币研究所,http://www.dcb.org/,2024-09-28,,,,
京网信备 11010119124326610018 号,DB52/T 1471-2019,NEO,公有区块链,已完成,第一阶段,性能测试,Nexus,厦门大学,2023-11-07,2023-11-15,2024-01-05,2024-01-06,厦门大学,技术评估,数据科学与技术学院,http://www.dstech.edu.cn/,2024-09-28,,,,
京网信备 11010119124326610019 号,DB52/T 1472-2019,Zilliqa,公有区块链,进行中,第二阶段,功能测试,Zilliqa Research,武汉大学,2023-12-01,2023-12-15,2024-03-15,2024-03-16,武汉大学,安全审计,国家信息中心,http://www.nic.gov.cn/,2024-09-28,,,,
京网信备 11010119124326610020 号,DB52/T 1473-2019,Algorand,公有区块链,进行中,第三阶段,安全测试,Algorand Foundation,南京大学,2023-12-10,2024-01-01,2024-06-01,2024-06-02,南京大学,技术验证,人工智能与区块链研究中心,http://www.aibc.edu.cn/,2024-09-28,,,,
京网信备 11010119124536610015 号,DB52/T 1474-2019,Cosmos,公有区块链,已完成,第二阶段,应用测试,Cosmos Network,哈尔滨工业大学,2024-01-15,2024-02-01,2024-06-01,2024-06-02,哈尔滨工业大学,性能测试,中国计算机学会,http://www.ccf.org.cn/,2024-09-28,,,,
京网信备 11010119124646610016 号,DB52/T 1475-2019,Fantom,公有区块链,进行中,第一阶段,集成测试,Fantom Foundation,东南大学,2024-01-20,2024-02-15,2024-07-15,2024-07-16,东南大学,技术测试,区块链发展评估委员会,http://www.bdac.org/,2024-09-28,,,,
京网信备 11010119124756610017 号,DB52/T 1476-2019,Cardano,公有区块链,已完成,第三阶段,功能测试,IOHK,复旦大学,2023-06-10,2023-07-01,2024-01-01,2024-01-02,复旦大学,技术评估,中国电子技术标准化研究院,http://www.caict.ac.cn,2024-09-28,,,,
京网信备 11010119124866610018 号,DB52/T 1467-2019,Polkadot,联盟链,进行中,第一阶段,性能测试,Web3 Foundation,浙江大学,2023-06-15,2023-06-20,2024-06-20,2024-01-15,浙江大学,系统审计,阿里巴巴区块链实验室,https://www.alibaba.com/blockchain,2024-09-28,,,,
京网信备 11010119124976610019 号,DB52/T 1468-2019,Avalanche,公有区块链,已完成,第二阶段,安全测试,Avalanche Labs,西安交通大学,2023-07-20,2023-08-01,2023-11-30,2023-12-01,西安交通大学,功能评估,北京科技报,http://www.bjkjb.com,2024-09-28,,,,
京网信备 11010119125086610020 号,DB52/T 1469-2019,Cosmos,公有链,进行中,第三阶段,应用测试,Cosmos Network,广东工业大学,2023-07-30,2023-08-05,2024-07-30,2024-01-20,广东工业大学,技术验证,中国信息通信研究院,http://www.caict.ac.cn,2024-09-28,,,,
京网信备 11010119124326610015 号,DB52/T 1470-2019,Chia,公有区块链,正在进行,第一区,安全测试,Chia Network,武汉大学,2023-08-15,2023-09-01,2024-08-31,2024-01-30,武汉大学,技术测试,国家标准化管理委员会,http://www.sac.gov.cn,2024-09-28,,,,
京网信备 11010119124326610016 号,DB52/T 1471-2019,Algorand,公有区块链,进行中,第二阶段,功能测试,Algorand Foundation,天津大学,2023-09-12,2023-09-20,2024-09-20,2024-02-05,天津大学,技术评估,区块链产业发展报告,http://www.blockchainreport.com,2024-09-28,,,,
京网信备 11010119124326610017 号,DB52/T 1472-2019,Hedera,联盟链,已完成,第一阶段,安全测试,Hedera Hashgraph,香港科技大学,2023-10-01,2023-10-10,2024-01-10,2024-01-11,香港科技大学,技术审计,全球区块链大会,http://www.globalevent.com,2024-09-28,,,,
京网信备 11010119124326610018 号,DB52/T 1473-2019,NEAR,公有区块链,进行中,第三阶段,性能测试,NEAR Foundation,南开大学,2023-10-15,2023-10-20,2024-10-20,2024-02-20,南开大学,系统测试,区块链研发部,http://www.blockchainlab.gov.cn,2024-09-28,,,,
京网信备 11010119124326610019 号,DB52/T 1474-2019,Cardano,公有区块链,正在进行,第一阶段,功能测试,IOHK,复旦大学,2023-05-15,2023-06-01,2024-06-01,2024-06-02,复旦大学,新技术测试,清华大学,http://www.tsinghua.edu.cn,2024-09-28,,,,
京网信备 11010119124326610020 号,DB52/T 1475-2019,Polkadot,联盟链,已完成,第二阶段,性能测试,Web3 Foundation,浙江大学,2023-06-20,2023-07-01,2023-11-30,2023-12-01,浙江大学,技术评估,国家信息安全技术中心,https://www.nsa.gov.cn,2024-09-28,,,,
京网信备 11010119124326610021 号,DB52/T 1476-2019,Avalanche,公有区块链,正在进行,第三阶段,安全测试,Ava Labs,北京航空航天大学,2023-07-15,2023-08-01,2024-01-31,2024-02-01,北京航空航天大学,安全审计,区块链行业发展论坛,http://www.blockchainforum.cn,2024-09-28,,,,
京网信备 11010119124326610022 号,DB52/T 1470-2019,EOS,公有区块链,进行中,第一阶段,功能测试,Block.one,华中科技大学,2023-08-10,2023-09-01,2024-09-01,2024-09-02,华中科技大学,功能验证,国家互联网信息办公室,http://www.cac.gov.cn,2024-09-28,,,,
京网信备 11010119124326610023 号,DB52/T 1483-2019,Algorand,公有区块链,已完成,第二阶段,应用测试,Algorand Foundation,哈尔滨工业大学,2023-09-05,2023-10-01,2023-12-31,2024-01-01,哈尔滨工业大学,技术评估,中央政府,http://www.gov.cn,2024-09-28,,,,
京网信备 11010119124326610024 号,DB52/T 1495-2019,Zilliqa,公有区块链,进行中,第一阶段,性能测试,Zilliqa Research,南开大学,2023-09-20,2023-10-05,2024-03-05,2024-03-06,南开大学,应用评估,科技日报,http://www.stdaily.com,2024-09-28,,,,
京网信备 11010119124326610015 号,DB52/T 1507-2019,TRON,公有区块链,正在进行,第三阶段,安全测试,TRON Foundation,西安交通大学,2023-10-05,2023-11-01,2024-04-01,2024-04-02,西安交通大学,安全审核,中国区块链协会,http://www.chinablockchain.org,2024-09-28,,,,
京网信备 11010119124326610016 号,DB52/T 1512-2019,Cosmos,公有区块链,已完成,第二阶段,应用测试,Cosmos Network,中国人民大学,2023-10-20,2023-11-01,2023-12-30,2024-01-01,中国人民大学,技术评审,信息产业部,http://www.miit.gov.cn,2024-09-28,,,,
京网信备 11010119124326610017 号,DB52/T 1526-2019,Ripple,公有区块链,正在进行,第二阶段,交易测试,Ripple Labs,杭州电子科技大学,2023-06-10,2023-07-01,2024-01-01,2024-01-02,杭州电子科技大学,新技术标准,互联网金融研究院,https://www.ifresearch.org,2024-09-28,,,,
京网信备 11010119124326610018 号,DB52/T 1538-2019,Cardano,公有区块链,已完成,第三阶段,合约测试,IOHK,中国科学院研究生院,2023-07-15,2023-08-01,2024-05-15,2024-05-16,中国科学院研究生院,技术演示,高新技术企业评审委员会,http://www.hitechreview.org,2024-09-28,,,,
京网信备 11010119124326610019 号,DB52/T 1549-2019,Polkadot,联盟链,进行中,第一阶段,互操作性测试,Web3 Foundation,南方科技大学,2023-08-01,2023-08-15,2024-08-15,2024-08-16,南方科技大学,技术合作,区块链应用协会,https://www.blockchainassociation.org,2024-09-28,,,,
京网信备 11010119124326610020 号,DB52/T 1561-2019,Hedera,公有区块链,正进行中,第二阶段,性能基准测试,Hedera Hashgraph,复旦大学,2023-09-10,2023-09-20,2024-03-20,2024-03-21,复旦大学,技术分析,全球区块链论坛,http://www.gbf.org,2024-09-28,,,,
京网信备 11010119124326610021 号,DB52/T 1574-2019,EOS,企业级区块链,已完成,第一阶段,智能合约测试,Block.one,清华大学,2023-05-25,2023-06-01,2024-01-01,2024-01-02,清华大学,智能合约验证,区块链技术协会,http://www.blockchaintech.org,2024-09-28,,,,
京网信备 11010119124326610022 号,DB52/T 1467-2019,Tron,公有区块链,进行中,第三阶段,数据存储测试,Tron Foundation,华东理工大学,2023-10-10,2023-11-01,2024-05-01,2024-05-02,华东理工大学,性能评估,区块链通讯社,http://www.blockchainnews.com,2024-09-28,,,,
京网信备 11010119124326610023 号,DB52/T 1468-2019,Algorand,公有区块链,进行中,第一阶段,技术鉴定测试,Algorand Foundation,吉林大学,2023-04-01,2023-04-10,2024-10-01,2024-10-02,吉林大学,技术开发,区块链发展研究中心,https://www.blockchaindev.org,2024-09-28,,,,
京网信备 11010119124326610024 号,DB52/T 1469-2019,NeO,公有区块链,已完成,第零阶段,数据可靠性测试,NEO Foundation,哈尔滨工业大学,2023-05-20,2023-06-05,2024-03-15,2024-03-16,哈尔滨工业大学,技术熟悉,中国区块链评测中心,http://www.cbcc.org,2024-09-28,,,,
京网信备 11010119124326610015 号,DB52/T 1470-2019,Cardano,公有区块链,正在进行,第一阶段,功能测试,IOHK,复旦大学,2023-05-15,2023-06-01,2024-06-01,2024-06-02,复旦大学,新技术标准,国家标准化管理委员会,https://www.gbt.org.cn/,2024-09-28,,,,
京网信备 11010119124326610016 号,DB52/T 1471-2019,Polygon,混合区块链,已完成,第二阶段,性能测试,Polygon Technology,哈尔滨工业大学,2023-03-22,2023-04-05,2023-12-10,2023-12-11,哈尔滨工业大学,技术评估,中国电子技术标准化研究院,http://www.caict.ac.cn/,2024-09-28,,,,
京网信备 11010119124326610017 号,DB52/T 1472-2019,Polkadot,公有区块链,进行中,第一阶段,安全测试,Parity Technologies,西安交通大学,2023-06-20,2023-07-01,2024-07-01,2024-07-02,西安交通大学,安全审计,中国信息安全技术标准化组,http://www.csa.gov.cn/,2024-09-28,,,,
京网信备 11010119124326610018 号,DB52/T 1473-2019,Ripple,企业级区块链,已完成,第二阶段,交易测试,Ripple Labs,中山大学,2023-02-10,2023-02-20,2023-08-15,2023-08-16,中山大学,技术评估,国家标准化管理委员会,https://www.gov.cn/,2024-09-28,,,,
京网信备 11010119124326610019 号,DB52/T 1474-2019,Stellar,公有区块链,进行中,第三阶段,安全测试,Stellar Development Foundation,北京交通大学,2023-07-15,2023-08-01,2024-08-01,2024-08-02,北京交通大学,技术验证,区块链技术标准化委员会,http://www.bcc.gov.cn/,2024-09-28,,,,
京网信备 11010119124326610020 号,DB52/T 1475-2019,AI-Blockchain Integration,混合区块链,已完成,第二阶段,智能合约测试,Alliance AI,浙江大学,2023-04-10,2023-05-01,2023-11-15,2023-11-16,浙江大学,技术评估,中国人工智能行业发展协会,http://www.caai.org.cn/,2024-09-28,,,,
京网信备 11010119124326610021 号,DB52/T 1476-2019,DeFi Applications Testing,公有区块链,进行中,第一阶段,功能测试,DeFi Alliance,同济大学,2023-05-05,2023-05-15,2024-05-15,2024-05-16,同济大学,技术验证,中国区块链技术应用研究院,http://www.cbta.org.cn/,2024-09-28,,,,
京网信备 11010119124326610022 号,DB52/T 1470-2019,NFT Standards Development,公有区块链,进行中,第一阶段,标准测试,NFT Foundation,中国科学技术大学,2023-06-10,2023-06-15,2024-06-15,2024-06-16,中国科学技术大学,标准制定,中国数字艺术协会,http://www.cda.org.cn/,2024-09-28,,,,
京网信备 11010119124326610027 号,DB52/T 1471-2019,Bitcoin,公有区块链,正在进行,第一阶段,交易测试,比特币研发团队,清华大学,2023-06-01,2023-06-15,2024-06-15,2024-06-16,清华大学,交易评估,国家互联网信息办公室,https://www.cac.gov.cn,2024-09-28,,,,
京网信备 11010119124326610038 号,DB52/T 1472-2019,EOS.IO,公有区块链,已完成,第二阶段,性能测试,Block.one,复旦大学,2023-07-10,2023-08-01,2023-11-30,2023-12-01,复旦大学,技术评估,上海市科技委员会,http://www.stcsm.gov.cn,2024-09-28,,,,
京网信备 11010119124326610042 号,DB52/T 1473-2019,Tezos,公有区块链,已完成,第三阶段,安全测试,Tezos Foundation,北京大学,2023-08-20,2023-09-01,2024-01-01,2024-01-02,北京大学,安全审计,国家信息技术标准化委员会,http://www.nits.gov.cn,2024-09-28,,,,
京网信备 11010119124326610053 号,DB52/T 1474-2019,Algorand,公有区块链,进行中,第一阶段,功能测试,Algorand Foundation,南方科技大学,2023-09-10,2023-09-15,2024-09-15,2024-09-16,南方科技大学,功能测试,厦门市区块链研究院,http://www.xmblockchain.cn,2024-09-28,,,,
京网信备 11010119124326610067 号,DB52/T 1475-2019,NEO,公有区块链,已完成,第二阶段,智能合约测试,NEO Foundation,电子科技大学,2023-10-20,2023-11-01,2024-05-01,2024-05-02,电子科技大学,智能合约评估,四川省科学技术厅,http://www.sc.gov.cn,2024-09-28,,,,
京网信备 11010119124326610074 号,DB52/T 1476-2019,Cardano,公有区块链,进行中,第三阶段,安全测试,IOHK,华东师范大学,2023-11-10,2023-11-15,2024-11-15,2024-11-16,华东师范大学,系统审计,国家发展和改革委员会,http://www.ndrc.gov.cn,2024-09-28,,,,
京网信备 11010119124326610081 号,DB52/T 1477-2019,Ripple,公有区块链,已完成,第二阶段,交易测试,Ripple Labs,上海大学,2023-12-01,2023-12-05,2024-06-05,2024-06-06,上海大学,交易评估,深圳市科技创新委员会,http://www.sz.gov.cn,2024-09-28,,,,
京网信备 11010119124326610095 号,DB52/T 1478-2019,Cosmos,公有区块链,进行中,第一阶段,功能测试,Cosmos Network,云南大学,2023-12-10,2023-12-15,2024-12-15,2024-12-16,云南大学,系统审计,国家区块链产业发展论坛,http://www.blockchainforum.gov.cn,2024-09-28,,,,
京网信备 11010119124326610102 号,DB52/T 1479-2019,Ripple,金融区块链,正在进行,第一阶段,功能测试,Ripple Labs,中南财经政法大学,2023-06-05,2023-06-15,2024-06-14,2024-06-15,中南财经政法大学,新应用标准,金融科技资讯网,https://www.fintechnews.cn,2024-09-28,,,,
京网信备 11010119124326610116 号,DB52/T 1470-2019,Polygon,公有区块链,已完成,第二阶段,性能测试,Polygon Technology,经济与管理学院,2023-07-10,2023-07-20,2023-10-10,2023-10-11,经济与管理学院,技术创新,企业创新周刊,https://www.innovationweekly.cn,2024-09-28,,,,
京网信备 11010119124326610015 号,DB52/T 1471-2019,Cardano,公有区块链,进行中,第三阶段,安全测试,IOHK,复旦大学,2023-08-15,2023-09-01,2024-08-31,2024-09-01,复旦大学,安全审计,区块链观察者,https://www.blockchainobserver.cn,2024-09-28,,,,
京网信备 11010119124326610016 号,DB52/T 1472-2019,Tezos,企业级区块链,进行中,第一阶段,技术测试,Tezos Foundation,西安电子科技大学,2023-09-10,2023-09-20,2024-09-19,2024-09-20,西安电子科技大学,技术审核,全国区块链联盟,https://www.blockchainalliance.cn,2024-09-28,,,,
京网信备 11010119124326610017 号,DB52/T 1473-2019,Avalanche,公有区块链,已完成,第二阶段,性能测试,Avalanche Labs,哈尔滨工业大学,2023-10-01,2023-10-15,2024-01-15,2024-01-16,哈尔滨工业大学,技术评审,区块链技术评论,https://www.blockchainreview.cn,2024-09-28,,,,
京网信备 11010119124326610018 号,DB52/T 1474-2019,Algorand,公有区块链,进行中,第一阶段,功能测试,Algorand Foundation,浙江大学,2023-10-20,2023-10-25,2024-10-24,2024-10-25,浙江大学,项目启动,区块链技术信息网,https://www.blocktechnologies.cn,2024-09-28,,,,
京网信备 11010119124326610019 号,DB52/T 1475-2019,EOS,公有区块链,正在进行,第三阶段,安全测试,Block.one,中国科技大学,2023-11-01,2023-11-10,2024-11-09,2024-11-10,中国科技大学,系统检查,中国科技报,https://www.sciencenews.cn,2024-09-28,,,,
京网信备 11010119124326610015 号,DB52/T 1476-2019,Fantom,公有区块链,已完成,第二阶段,性能测试,Fantom Foundation,西北工业大学,2023-12-05,2023-12-15,2024-03-15,2024-03-16,西北工业大学,技术报告,区块链前沿,https://www.blockchainfrontier.cn,2024-09-28,,,,
京网信备 11010119124326610016 号,DB52/T 1477-2019,Hedera,公有区块链,进行中,第一阶段,技术测试,Hedera Hashgraph,南开大学,2024-01-05,2024-01-10,2024-07-10,2024-07-11,南开大学,技术发展,区块链行业协会,https://www.blockchainassociation.cn,2024-09-28,,,,
京网信备 11010119124326610017 号,DB52/T 1478-2019,Blockchain for Supply Chain,公有区块链,已完成,第三阶段,综合测试,华为技术有限公司,复旦大学,2023-06-15,2023-08-01,2024-02-28,2024-03-01,复旦大学,标准制定,全国供应链管理研究中心,https://www.nscm.org/,2024-09-28,,,,
京网信备 11010119124326610018 号,DB52/T 1479-2019,Decentralized Identity,企业级区块链,进行中,第一阶段,功能测试,阿里巴巴集团,浙江大学,2023-07-05,2023-08-01,2024-07-31,2024-08-01,浙江大学,技术试验,浙江省标准化管理委员会,https://www.zj.gov.cn/,2024-09-28,,,,
京网信备 11010119124326610019 号,DB52/T 1567-2020,Smart Contracts,公有区块链,已完成,第二阶段,功能测试,腾讯科技（深圳）有限公司,南方科技大学,2023-08-20,2023-09-01,2024-03-31,2024-04-01,南方科技大学,技术规范,国家信息技术标准化研究院,https://www.nitsf.org/,2024-09-28,,,,
京网信备 11010119124326610020 号,DB52/T 1745-2021,Digital Asset Management,企业级区块链,进行中,第一阶段,性能测试,中国工商银行,西安交通大学,2023-09-10,2023-10-01,2024-10-01,2024-10-02,西安交通大学,应用开发,中国金融科技发展研究院,https://www.cbdca.org/,2024-09-28,,,,
京网信备 11010119124326610021 号,DB52/T 1623-2019,Voting Platform,公有区块链,正在进行,第一阶段,应用测试,百度公司,清华大学,2023-10-05,2023-11-01,2024-11-01,2024-01-15,清华大学,项目孵化,清华大学区块链实验室,https://www.tsinghua.edu.cn/,2024-09-28,,,,
京网信备 11010119124326610022 号,DB52/T 1832-2023,Healthcare Data Exchange,联盟链,已完成,第二阶段,数据测试,阿里健康,北京大学,2023-11-01,2023-12-01,2024-11-30,2024-12-01,北京大学,项目评估,国家卫生健康委员会,http://www.nhc.gov.cn/,2024-09-28,,,,
京网信备 11010119124326610023 号,DB52/T 1458-2021,IoT Device Management,企业级区块chain,进行中,第一阶段,连接测试,中兴通讯,华南理工大学,2023-12-01,2024-01-01,2025-01-01,2025-01-02,华南理工大学,实施验收,中国物联网产业应用发展协会,http://www.ciot.org.cn/,2024-09-28,,,,
京网信备 11010119124326610024 号,DB52/T 1579-2022,Energy Trading Platform,联盟链,已完成,第三阶段,市场测试,国家电网,同济大学,2023-12-10,2024-01-05,2024-10-01,2024-10-02,同济大学,技术审核,国家能源局,http://www.nea.gov.cn/,2024-09-28,,,,
京网信备 11010119124326610015 号,DB52/T 1490-2020,Real Estate Blockchain,公有区块链,进行中,第一阶段,实证测试,万科企业股份有限公司,清华大学,2023-12-15,2024-01-10,2025-01-10,2025-01-11,清华大学,市场检验,中国房地产协会,http://www.china-rea.com/,2024-09-28,,,,
京网信备 11010119124326610016 号,DB52/T 1783-2022,Chainlink,公有区块链,已完成,第一阶段,智能合约测试,Chainlink Labs,中山大学,2023-06-01,2023-06-15,2023-07-30,2023-08-01,中山大学,智能合约验证,中国区块链技术与应用协会,http://www.cbta.org.cn/,2024-09-28,,,,
京网信备 11010119124326610017 号,DB52/T 1542-2019,Polkadot,跨链技术,正在进行,第三阶段,网络性能测试,Web3 Foundation,复旦大学,2023-06-14,2023-07-01,2024-01-15,2024-02-01,复旦大学,系统集成测试,中国信息通信研究院,http://www.caict.ac.cn/,2024-09-28,,,,
京网信备 11010119124326610018 号,DB52/T 1678-2023,Avalanche,公有区块链,已完成,第一阶段,功能测试,Avalanche Foundation,华南理工大学,2023-05-15,2023-06-01,2023-12-01,2023-12-02,华南理工大学,链上交易测试,全国互联网金融监管技术研究中心,http://www.nifc.org.cn/,2024-09-28,,,,
京网信备 11010119124326610019 号,DB52/T 1470-2019,Cardano,公有区块链,正在进行,第二阶段,安全测试,IOHK,浙江大学,2023-07-20,2023-08-01,2024-01-30,2024-02-01,浙江大学,网络安全审计,国家信息科技发展研究中心,http://www.nitdc.org.cn/,2024-09-28,,,,
京网信备 11010119124326610020 号,DB52/T 1471-2019,Aion,跨链区块链,已完成,第三阶段,整合测试,Layer0 Labs,天津大学,2023-06-30,2023-07-15,2023-12-15,2023-12-16,天津大学,项目集成测试,中国科技部,http://www.most.gov.cn/,2024-09-28,,,,
京网信备 11010119124326610021 号,DB52/T 1472-2019,Hedera,公共网络区块链,进行中,第一阶段,交易验证测试,Hedera Hashgraph,南昌大学,2023-08-10,2023-08-15,2024-02-15,2024-02-16,南昌大学,综合性能测试,全国区块链信息中心,http://www.nbc.org.cn/,2024-09-28,,,,
京网信备 11010119124326610022 号,DB52/T 1473-2019,Ripple,金融区块链,即将开始,第一阶段,跨境支付测试,Ripple Labs,上海财经大学,2023-09-01,2023-10-01,2024-05-01,2024-05-02,上海财经大学,应用开发测试,中国金融科技协会,http://www.cfta.org.cn/,2024-09-28,,,,
京网信备 11010119124326610023 号,DB52/T 1474-2019,NEO,公有区块链,进行中,第二阶段,应用测试,NEO Foundation,西安交通大学,2023-09-15,2023-09-20,2025-01-01,2025-01-02,西安交通大学,智能合约测试,中国区块链应用研究所,http://www.blockchain-research.cn/,2024-09-28,,,,
京网信备 11010119124326610024 号,DB52/T 1475-2019,Avalanche,公有区块链,正在进行,第一阶段,功能测试,Avalanche Foundation,浙江大学,2023-06-15,2023-07-01,2024-01-31,2024-02-01,浙江大学,新技术标准,区块链研究中心,http://www.blockchainresearch.cn/,2024-09-28,,,,
京网信备 11010119124326610015 号,DB52/T 1476-2019,Polkadot,联盟链,已完成,第二阶段,性能测试,Web3 Foundation,复旦大学,2023-07-10,2023-08-01,2023-11-30,2023-12-01,复旦大学,安全审计,中信证券,https://www.cs.com.cn/,2024-09-28,,,,
京网信备 11010119124326610016 号,DB52/T 1477-2019,Cardano,公有链,进行中,第一阶段,技术测试,IOHK,华南理工大学,2023-08-01,2023-09-01,2024-03-01,2024-03-02,华南理工大学,技术验证,中国科技部,http://www.most.gov.cn/,2024-09-28,,,,
京网信备 11010119124326610017 号,DB52/T 1478-2019,Algorand,公有链,已完成,第二阶段,安全测试,Algorand Foundation,东南大学,2023-09-05,2023-10-01,2023-12-15,2023-12-16,东南大学,安全审计,中国区块链发展促进会,http://www.chinablockchain.org/,2024-09-28,,,,
京网信备 11010119124326610018 号,DB52/T 1479-2019,Chainlink,联盟链,进行中,第一阶段,功能测试,Chainlink Labs,南京邮电大学,2023-10-10,2023-11-01,2024-01-31,2024-02-01,南京邮电大学,技术测试,Blockchain Journal,https://www.blockchainjournal.com/,2024-09-28,,,,
京网信备 11010119124326610019 号,DB52/T 1470-2019,Zilliqa,公有链,正在进行,第二阶段,性能测试,Zilliqa Foundation,武汉大学,2023-10-20,2023-11-15,2024-04-15,2024-04-16,武汉大学,新技术标准,新浪科技,https://tech.sina.com.cn/,2024-09-28,,,,
京网信备 11010119124326610015 号,DB52/T 1471-2019,EOS,联盟链,已完成,第一阶段,安全测试,Block.one,天津大学,2023-11-01,2023-12-01,2024-01-15,2024-01-16,天津大学,系统审计,新华网,http://www.xinhuanet.com/,2024-09-28,,,,
京网信备 11010119124326610016 号,DB52/T 1472-2019,Internet Computer,公有链,进行中,第三阶段,功能测试,DFINITY,南开大学,2023-11-15,2023-12-01,2024-06-15,2024-06-16,南开大学,技术测试,中国互联网协会,http://www.isc.org.cn/,2024-09-28,,,,
京网信备 11010119124326610017 号,DB52/T 1473-2019,Polkadot,混合区块链,正在进行,第一阶段,功能测试,Polkadot Foundation,复旦大学,2023-06-01,2023-07-01,2024-06-30,2024-07-01,复旦大学,技术验证,复旦大学区块链研究中心,http://www.fudan.edu.cn/research/blockchain,2024-09-28,,,,
京网信备 11010119124326610018 号,DB52/T 1474-2019,Avalanche,公有区块链,已完成,第三阶段,性能测试,Avalanche Labs,西安交通大学,2023-07-10,2023-08-01,2024-02-28,2024-03-01,西安交通大学,技术评估,全国标准信息公共服务平台,https://std.samr.gov.cn,2024-09-28,,,,
京网信备 11010119124326610019 号,DB52/T 1475-2019,Ripple,企业级区块链,进行中,第一阶段,安全测试,Ripple Labs,中山大学,2023-07-15,2023-08-10,2024-08-10,2024-08-11,中山大学,安全审计,中国信息通信研究院,http://www.caict.ac.cn,2024-09-28,,,,
京网信备 11010119124326610020 号,DB52/T 1476-2019,Chainlink,公有区块链,已完成,第二阶段,应用测试,Chainlink Labs,浙江大学,2023-08-01,2023-08-20,2024-01-15,2024-01-16,浙江大学,技术评估,浙江大学区块链研究中心,http://www.zju.edu.cn/research/blockchain,2024-09-28,,,,
京网信备 11010119124326610021 号,DB52/T 1477-2019,Filecoin,公有区块链,正在进行,第一阶段,性能测试,Protocol Labs,南京大学,2023-09-05,2023-09-10,2024-09-10,2024-09-11,南京大学,技术验证,南京大学区块链研究中心,http://www.nju.edu.cn/research/blockchain,2024-09-28,,,,
